datetime,discharge
198701130030,0
198701130130,0
198701130230,0
198701130330,0
198701130430,0
198701130530,0
198701130630,0
198701130730,0
198701130830,0
198701130930,0
198701131030,0
198701131130,0
198701131230,0
198701131330,0
198701131430,0
198701131530,0
198701131630,0
198701131730,0
198701131830,0
198701131930,0
198701132030,0
198701132130,0
198701132230,0
198701132330,0
198701140030,0
198701140130,0
198701140230,0
198701140330,0
198701140430,0
198701140530,0
198701140630,0
198701140730,0
198701140830,0
198701140930,0
198701141030,0
198701141130,0
198701141230,0
198701141330,0
198701141430,0
198701141530,0
198701141630,0
198701141730,0
198701141830,50
198701141930,100
198701142030,265.53
198701142130,137.4
198701142230,52.8
198701142330,35.0
198701150030,25.8
198701150130,20.5
198701150230,16.5
198701150330,14.1
198701150430,13
198701150530,0
198701150630,0
198701150730,0
198701150830,0
198701150930,0
198701151030,0
198701151130,0
198701151230,0
